,Unnamed: 0,Mean,Median,Mode,Standard Deviation,Zero Crossing Rate,RootMean Square,Amplitude envelope,Human/Robo
77,77,0.1,16,-19,1808.22,8140,1808.22465418432,9317,0
78,78,1.42,6,10,1584.09,11323,1584.08978596543,10951,0
79,79,-0.65,21,7,1847.8,10371,1847.80209708724,10899,0
80,80,-1,28,-20,1864.32,11931,1864.3223058259,10899,0
81,81,2.36,39,140,1721.59,11410,1721.59341599577,7676,0
82,82,1.33,8.5,-38,1312.84,9527,1312.84056153061,8438,0
83,83,-0.88,12,109,1778.28,11127,1778.27922723064,11847.5,0
84,84,-1.21,36,-33,2020.4,11058,2020.39728518923,11847.5,0
85,85,-0.62,22.5,-2,1833.84,7932,1833.83819624306,9932,0
86,86,-0.59,3.5,10,1535.52,12638,1535.51744373029,9932,0
87,87,-0.1,11.5,-20,2274.79,17182,2274.78748018359,8789.5,0
88,88,0.65,88.5,-26,2871.23,9410,2871.23099384219,10482,0
89,89,-0.59,19,1,2797.85,8063,2797.85207257282,15808,0
90,90,-1.38,52,49,3221.12,7968,3221.11718662951,15921,0
91,91,0.2,52.5,132,2773.9,9279,2773.89610475951,15921,0
92,92,0.07,2.5,10.5,1634.15,13229,1634.15190848342,10236,0
93,93,0.21,6.5,-4,1581.81,12889,1581.8114931938,10236,0
94,94,0.06,9.5,7,1725.88,11938,1725.87859943856,10161.5,0
95,95,0.42,2.5,5,1539.72,12096,1539.71544124231,11703,0
96,96,-0.19,6,2,1431.17,10111,1431.16657311439,8035,0
97,97,-0.13,10,26,1783.7,9033,1783.6952430278,9550,0
98,98,0.24,7,-0.5,1689.97,9561,1689.97284889432,9550,0
99,99,0.31,16,-83,1499.63,6224,1499.63122466825,8224.5,0
100,100,0.15,2,-11,1300.38,9522,1300.38187468143,8924,0
101,101,-0.23,6.5,-8,1317.32,12225,1317.31641984756,8924,0
102,102,-0.76,26,56,1433.22,8615,1433.2167979758,5910,0
103,103,-0.18,3.5,6,1234.15,7704,1234.1464540321,5996.5,0
104,104,-0.33,7,-6,1270.2,5594,1270.19876790997,5996.5,0
105,105,0.12,0.5,14,497.83,17363,497.833677044854,4094,0
106,106,0.67,3.5,3,1501.55,14845,1501.55304934591,8111,0
107,107,0.52,25.5,-14,1927.84,10216,1927.83982996513,8111,0
108,108,-0.4,53,-24,1756.31,10513,1756.30794281641,10113,0
109,109,-1.19,5.5,-12,1474.56,15299,1474.56392875996,10113,0
110,110,-0.42,7,-12,2778.64,15658,2778.6426290547,14307.5,0
111,111,0.7,28,21,3025.02,10116,3025.0173371404,14307.5,0
112,112,0.31,15,-30,1992.67,11026,1992.67059997381,11067.5,0
113,113,0.65,30,49,1811.47,12289,1811.47254464427,8863,0
114,114,0.13,21.5,-17,1890.38,11532,1890.38250626692,11008,0
115,115,0.26,8.5,-17,1735.86,10573,1735.86426600699,9759,0
116,116,0.29,9,38,1969.9,13919,1969.90223869105,10893.5,0
117,117,0.31,21.5,-10,2442.12,13894,2442.12294940283,10893.5,0
118,118,0.67,32,-43,2199.4,8775,2199.40094116557,12463.5,0
119,119,-0.5,23,126,1479.01,7355,1479.00790396806,12463.5,0
120,120,-0.96,4.5,30,1202.06,9651,1202.05902933259,11907,0
121,121,0.51,20,70,2551.66,10965,2551.65992640085,15368,0
122,122,0.58,29,-105,2859.64,9865,2859.63690352464,18101,0
123,123,0.74,20.5,33,2404.52,10383,2404.52320845526,12255,0
124,124,0.26,16.5,33,2144.39,10759,2144.38908549731,12238,0
125,125,-0.1,22,-21,1911.81,8964,1911.80593680426,12238,0
126,126,-0.28,17,-20,1522.41,9227,1522.4053074001,6959,0
127,127,0.48,32,-25,1817.83,9081,1817.82692795546,8411,0
128,128,0.73,13,15,1633.31,8404,1633.31240428768,8411,0
129,129,-0.1,11,15,1878.25,10625,1878.25047850386,10510.5,0
130,130,1.09,25.5,-3,2055.93,10950,2055.93465119882,10510.5,0
131,131,1.21,21,4,1706.37,11581,1706.36729926473,10781,0
132,132,0.41,14,-21,1472.09,11505,1472.08530663138,11542.5,0
133,133,-0.07,9.5,-11,2028.79,10722,2028.78569592749,13551,0
134,134,-0.61,8.5,4,2077.26,14042,2077.26403954817,13551,0
135,135,-0.23,37,20,2112.89,15536,2112.88956408043,10301,0
136,136,1.12,32,28,2107.37,14728,2107.36614996066,10301,0
137,137,0.98,17,-8,1827.87,9774,1827.86637093634,9990,0
138,138,1.15,13.5,17,2178.27,9991,2178.27301319187,11268.5,0
139,139,0.4,40.5,-6,2596.51,10886,2596.50575581877,11844,0
140,140,-0.49,30.5,62,2225.71,9981,2225.71049105673,11979,0
141,141,-0.35,49,25,2196.8,10475,2196.79584395091,8982,0
142,142,-0.54,99,-43,2331.72,8350,2331.71575454642,11831.5,0
143,143,0.26,25.5,-46,2008.54,6525,2008.54353948327,11831.5,0
144,144,0.63,11,2,1725.5,7807,1725.50372355437,10151.5,0
145,145,-0.43,18,-16,1972.64,11213,1972.64336107671,9961,0
146,146,-0.3,22,23,1830.01,9757,1830.00636064468,9440,0
147,147,0.08,15.5,2,1618.12,7404,1618.12052085127,10614,0
148,148,-1.08,5,6,1501.95,12188,1501.95080478689,10614,0
149,149,-1.54,-1,-23,1241.82,14182,1241.82366300534,7408,0
150,150,0.18,5.5,-82,1468.8,7290,1468.80269267182,8052,0
151,151,-0.77,1,8,1668.94,8582,1668.93944467737,13009,0
152,152,-0.54,9.5,8,2591.07,7926,2591.07200015746,13438,0
153,153,-0.06,5.5,-8,2404.21,6169,2404.20884284207,13438,0
154,154,0.13,-5,12,860.11,7786,860.10711542226,8287.5,0
155,155,-0.17,-1,-3,269.9,14214,269.903519799205,8287.5,0
156,156,0.54,3,-3,1237.09,16298,1237.08585393254,6869.5,0
157,157,0.93,18,-14,1728.33,10441,1728.33361073608,6869.5,0
158,158,0.16,31,33,1521.81,7781,1521.80892361689,5847,0
159,159,-0.31,6.5,1.5,1434.66,10524,1434.659705296,7045,0
160,160,0.27,9.5,-19,1609.73,11414,1609.72616615373,7385.5,0
161,161,-0.01,34,-24,1921.99,11853,1921.99218260637,11385,0
162,162,0.16,5,-8,1397.3,11380,1397.30379660259,11385,0
163,163,0.33,12,6,1314.39,8800,1314.38702823788,6663,0
164,164,-0.19,39.5,34,1532.83,9072,1532.83246638372,8759,0
165,165,-0.16,10,30,1470.5,11191,1470.50399863448,8759,0
166,166,-0.22,-9,10,1249.14,7644,1249.14272202979,6060,0
167,167,0.02,1.5,-60,1513.63,7252,1513.62699830573,14345.5,0
168,168,0.05,7,2,2167.6,14195,2167.59513286038,14363,0
169,169,-0.49,28,-13,2278.27,8841,2278.26861673509,12485.5,0
170,170,0.61,67,291,2252.13,4778,2252.13164801705,11667,0
171,171,0.76,61.5,-3,2164.96,5618,2164.96081488788,12930,0
172,172,-0.01,9.5,-21,1755.1,8100,1755.09925075478,12930,0
173,173,0.25,0.5,-21,639.83,14458,639.828000325087,4631,0
174,174,0.28,5.5,-23,1517.68,14271,1517.68193637534,8819,0
175,175,-0.66,25.5,-33,1834.42,8631,1834.42356613733,8819,0
176,176,0.02,17,-28,1534.97,6618,1534.97042642521,9859.5,0
177,177,-0.3,0,-7,802.82,14484,802.821555515296,5052,0
178,178,-0.01,3.5,14,1346.44,14540,1346.43504484992,6374,0
179,179,0.31,14.5,11,1869.9,6742,1869.90047596122,7092.5,0
180,180,0.01,7,21,1465.13,7594,1465.1268784648,7092.5,0
181,181,-0.25,6,21,1050.36,12343,1050.35717258464,5377,0
182,182,0.16,3.5,20,975.6,12125,975.595628321489,5377,0
183,183,0.42,5.5,2,1224.55,10206,1224.55342472266,7338,0
184,184,-0.28,9.5,2,1365.5,10901,1365.50100695679,7338,0
185,185,-0.79,17,-17,1127.66,9544,1127.65688930632,6466.5,0
186,186,0.57,5.5,1,1133.74,8964,1133.73712120579,6084,0
187,187,0.86,19,5,1724.79,8253,1724.79042784913,9538,0
188,188,0.67,8.5,5,1779.24,10393,1779.24310593016,9538,0
189,189,-0.22,5,-14,1561.15,12077,1561.15149489087,9530,0
190,190,0.38,7.5,10,1456.18,11670,1456.18259157291,7633,0
191,191,0.33,9,10,1248.23,9834,1248.22731904089,5653,0
192,192,-0.69,17,-2,1397.31,8897,1397.30619765318,9790,0
193,193,0.17,21.5,19,1554.83,12591,1554.83153749852,10516.5,0
194,194,0.16,61,-14,1778.67,11370,1778.67206364748,10516.5,0
195,195,-0.26,57,57,2020.82,7051,2020.82454211146,11523,0
196,196,-0.4,1,-12,1432.86,10750,1432.86160531993,7801,0
197,197,-0.75,-0.5,20,1290.92,11958,1290.91523734132,7368,0
198,198,-0.75,-1.5,57,1351.05,10884,1351.04825968579,7368,0
199,199,-0.08,5,57,1675.75,9924,1675.74798522928,9131,0
200,200,-0.63,10.5,25,1937.51,9049,1937.51440768837,9131,0
201,201,0.53,9.5,-27,1837.51,7838,1837.51339314847,9493,0
202,202,0.79,18.5,63,1772.43,8825,1772.43510177383,9493,0
203,203,-0.1,6.5,-8,1213.43,10829,1213.43323260903,7624,0
204,204,0.13,25,-6,2196.87,6910,2196.87102033779,12693,0
205,205,-0.06,11.5,26,2240.27,11475,2240.26855309804,12693,0
206,206,-0.01,15.5,26,2248.06,9824,2248.0563427103,12452.5,0
207,207,-1.41,58,146,2741.31,5064,2741.30553933705,11756.5,0
208,208,-0.92,79,-94,2696.7,8880,2696.6957058593,11756.5,0
209,209,0.62,37,-30,2545.73,11569,2545.72876206402,17135.5,0
210,210,-0.43,8.5,5,2442.5,11663,2442.49959467755,17135.5,0
211,211,0.55,15.5,8,2276.27,9599,2276.26911633928,11582,0
212,212,0.18,43,-50,2176.12,7351,2176.11512563099,10936,0
213,213,-0.21,4.5,17,1272.25,13004,1272.25034093138,6562,0
214,214,0.03,44,20,2068.94,11429,2068.93548956945,10705.5,0
215,215,0.1,39,9,2583.99,7465,2583.98769733913,10705.5,0
216,216,-0.34,20,-3,2244.54,8585,2244.53889696748,11931,0
217,217,-0.41,13.5,18,1808.57,11046,1808.57217992537,11931,0
218,218,-0.12,2,7,1130,16935,1130.00227875876,7568,0
219,219,0.02,2.5,13.5,1597.8,13333,1597.79750907304,10389,0
220,220,-0.1,14,30,1901.89,8509,1901.89303852767,10389,0
221,221,-0.78,10,-34,1850.29,11763,1850.29406581765,8859.5,0
222,222,-0.79,4,-33,2269.87,8913,2269.87120780013,13473.5,0
223,223,0.03,7.5,26,2016.37,9780,2016.36964121165,13473.5,0
224,224,0.07,8.5,-8.5,1681.14,12836,1681.14355722526,8579.5,0
225,225,-1.17,17,21,1868.46,10474,1868.46128405167,8579.5,0
226,226,-0.3,18.5,21,1669.68,6294,1669.68225420288,7467,0
227,227,0.61,1.5,-10,1078.89,11486,1078.88838162249,7039,0
228,228,-0.22,8.5,-10,1951.19,11571,1951.18932705158,11569,0
229,229,0.22,65,21,2124.35,8352,2124.34909560552,11569,0
230,230,0.78,5.5,28,1092.75,11190,1092.75328871617,5268,0
231,231,-0.12,2.5,14.5,1216.84,16380,1216.84372455957,9856.5,0
232,232,-0.67,14,4,1640.97,10416,1640.9655755073,9856.5,0
233,233,-0.53,28.5,-39,1573.66,8734,1573.66327719751,8541,0
234,234,-0.14,22,-55,1469.38,11337,1469.37584028049,8541,0
235,235,-0.52,10,-4,1236.67,11880,1236.66586028725,6324,0
236,236,-0.12,12.5,11,1720.27,8301,1720.2730858791,8153,0
237,237,0.44,38.5,-18,1890.5,5604,1890.49624702087,8153,0
238,238,0.75,12,-8,1364.28,6301,1364.28350059656,6875,0
239,239,-0.2,9,-8,1275.68,8257,1275.67658518921,6923,0
240,240,0.93,24,8,1543.87,8314,1543.87220973758,7335.5,0
241,241,0.39,43.5,186,1529.84,8691,1529.83879542911,7335.5,0
242,242,-0.67,13,-29,1282.95,8862,1282.94864667297,6361,0
243,243,-0.52,2,12,1035.33,13051,1035.32676484287,6464,0
244,244,0.25,6.5,12,1777.29,12673,1777.28700552274,11014,0
245,245,0.12,37.5,40,1973.37,9956,1973.37131326063,11014,0
246,246,0.41,25.5,40,1500.52,9812,1500.52286553721,8821,0
247,247,0.53,7,-34,1250.99,9185,1250.98659864924,7358,0
248,248,0.31,0,-5,926.46,12178,926.462395351263,6978,0
249,249,-0.09,6,9,1668.42,14861,1668.41922189838,10584,0
250,250,-0.22,52,12,2067.05,9031,2067.04505998297,10936.5,0
251,251,-0.52,11.5,-1,1599.24,8974,1599.24494996858,10936.5,0
252,252,-0.23,6.5,19,1254.5,9681,1254.49788361719,9352.5,0
253,253,-0.59,4,0,1072.83,9300,1072.83382217378,9352.5,0
254,254,-0.44,1,25,1174.61,9758,1174.61032687441,6559,0
255,255,0.11,2,30,1228.31,14362,1228.30881703259,6615.5,0
256,256,-1.13,15.5,30,1654.08,12740,1654.07590212783,7113.5,0
257,257,-0.51,67,-55,1816.56,8146,1816.56053023289,8529,0
258,258,-1.34,5,-6,1780.08,10586,1780.07704608537,9987.5,0
259,259,0.61,10.5,-6,1911.93,10087,1911.93185548021,9505,0
260,260,1.17,22,-26,1562.53,8130,1562.53027810664,9505,0
261,261,-0.93,2.5,7,990.17,8804,990.168995677001,4133.5,0
262,262,-0.26,1.5,7,1027.58,10801,1027.58012826251,5802.5,0
263,263,0.21,18.5,31,1336.62,9782,1336.61723391553,5802.5,0
264,264,-0.42,6.5,6,1141.55,8043,1141.55349852734,5666,0
265,265,-0.96,5.5,27,1285.6,11267,1285.60054449273,8462,0
266,266,-0.18,10,-2,1605.35,15229,1605.35155028424,8462,0
267,267,-0.24,72.5,-22,2370.28,9127,2370.27714624261,10428,0
268,268,0.08,40.5,27,2088.54,7960,2088.54406944168,11744,0
269,269,0.25,56,24,3071.75,9011,3071.74590420497,16162,0
270,270,1.05,209,-61,3532.72,8521,3532.7239560996,16162,0
271,271,0.06,94.5,448,2569.77,7015,2569.77211830154,9324,0
272,272,0.07,7,13,1603.39,10252,1603.38562735232,10331.5,0
273,273,0.15,8.5,-23,1671.66,11364,1671.65600827443,10331.5,0
274,274,-0.36,22,-17,1674.97,9364,1674.97268037422,8247.5,0
275,275,-0.2,15,-13,1488.7,8851,1488.69992946866,8247.5,0
276,276,0.35,17.5,-42,2025.98,13003,2025.98339578586,9122.5,0
277,277,-0.76,9,-23,1828.31,9076,1828.30944864375,9824,0
278,278,-0.45,11,5,1549.82,8524,1549.81969596466,9824,0
279,279,0.72,20,33,1547.98,9487,1547.97996757064,7853.5,0
280,280,0.09,5.5,33,2032.47,11024,2032.46965537004,13608,0
281,281,-0.25,8.5,23,2424.54,12578,2424.53911084148,13608,0
282,282,-0.16,14.5,13,1858.14,14251,1858.14305423452,12043,0
283,283,-0.32,2,-15,967.13,16445,967.13129925569,8809,0
284,284,-0.56,5,2,1158.66,13917,1158.65670066677,9486.5,0
285,285,-0.47,9.5,-9,1563.77,7690,1563.7741684783,8938,0
286,286,0,8,-9,1417.06,7850,1417.0590284106,7938,0
287,287,0.96,12.5,-5,1695.37,8063,1695.36852630925,9342,0
288,288,0.88,21.5,-45,1758.49,10292,1758.49041510041,9342,0
289,289,-0.43,12.5,-12,1678.2,11269,1678.19890060743,12958,0
290,290,0.13,7.5,-23,1479.73,13431,1479.72750531981,12958,0
291,291,0.36,8,-18,1630.1,13595,1630.10346910863,11023,0
292,292,-0.06,2.5,2.5,1641.07,12647,1641.06615345025,11023,0
293,293,-0.1,2.5,2.5,1553.74,13371,1553.73553412413,8341,0
294,294,-0.63,9.5,5,1588.84,11403,1588.83738312012,9207,0
295,295,-0.84,17.5,3,1780.37,8330,1780.3740449692,9207,0
296,296,-1.92,39.5,249,1512,4604,1512.00460978133,6035.5,0
297,297,-1.17,23,-27,1400.7,5889,1400.70117798194,7769,0
298,298,0.34,2,36,1070.52,7333,1070.51681911122,7769,0
299,299,0.15,2.5,36,1607.67,8998,1607.67198768903,8357,0
300,300,0.33,13,-6,2107.21,9976,2107.21044986019,11727.5,0
301,301,0.08,50,60,2033.42,7749,2033.41624120592,12590.5,0
302,302,-0.07,84.5,91,1887.66,7145,1887.66268437981,12590.5,0
303,303,-0.44,69,-5,2213.23,6666,2213.23284360232,11112,0
304,304,0.24,59,-35,2020.27,8386,2020.26587359189,9340,0
305,305,0.72,68,58,1890.27,8437,1890.27109695938,11397,0
306,306,-0.08,23.5,3,1595.64,9811,1595.63550349069,11397,0
307,307,-0.13,23,22,1634.1,8751,1634.10226424175,10382,0
308,308,-0.09,13,8,1500.28,7819,1500.28211680337,10382,0
309,309,-0.1,23.5,34,1823.85,9653,1823.84660539202,8506.5,0
310,310,0.7,69,42,2453.26,9277,2453.2565581284,10909,0
311,311,0.3,35,23,2301.29,9691,2301.2946291164,11674.5,0
312,312,-0.03,7,-11,1500.14,8838,1500.13636380164,8359,0
313,313,-0.17,19,-20,1552.87,8504,1552.86696146193,8359,0
314,314,0.32,43,54,1445.76,9135,1445.76331050418,6902,0
315,315,0.29,9.5,-3,1125.6,13209,1125.59566452612,5766,0
316,316,-0.99,9,-3,2161.45,13553,2161.4505291586,11423,0
317,317,-0.55,84,106,2517.67,8975,2517.66548612003,11423,0
318,318,0.32,64,-289,2358.26,8909,2358.25712550604,14222,0
319,319,0.74,57.5,-242,2703.89,7302,2703.88538403535,14222,0
320,320,-0.07,38.5,16,2505.69,8231,2505.69419323269,12955.5,0
321,321,-0.58,13,7,1889.81,12831,1889.80621757893,10131,0
322,322,1.2,26,4,2100.2,10495,2100.1967193575,8990,0
323,323,1.37,52.5,80,2003.42,8656,2003.42541663023,8990,0
324,324,0,16,22,1211.93,9566,1211.92597958786,8399,0
325,325,-0.08,22,-55,1872.93,7941,1872.92873062485,8933,0
326,326,-0.09,27,-7,2116.73,9076,2116.72805291563,8933,0
327,327,0.57,25,6,1972.57,10188,1972.56608254324,9758,0
328,328,-0.09,31.5,-11,1826.28,10327,1826.28455066564,9758,0
329,329,-1.25,25.5,-115,1518.4,9636,1518.40431703812,6544.5,0
330,330,-1.08,8,9,1273.52,12098,1273.51561042651,7769,0
331,331,-0.74,9,-24,1532.88,12207,1532.87966911953,7913,0
332,332,0.39,7.5,45,1380.51,7283,1380.51101045953,7913,0
333,333,0.22,10,12,1330.38,7913,1330.37547707405,6979,0
334,334,0.14,31,-68,1616.31,6869,1616.31036004847,7581,0
335,335,0.06,5,6,1564.91,10585,1564.90597800635,10279,0
336,336,-1.02,7,26,1749.63,13861,1749.62740604964,10279,0
337,337,-1.92,31,-76,2132.27,12621,2132.27311805969,10622,0
338,338,-1.36,42,-21,2243.17,13957,2243.16872526344,10622,0
339,339,-0.38,39.5,0,2133.36,10088,2133.35550014525,11767,0
340,340,-1.65,11,10,1527.22,11568,1527.22119223117,7844,0
341,341,-0.95,12.5,1,1349.7,12960,1349.69564717384,11275,0
342,342,-0.86,32,-57,1504.65,11699,1504.65128518205,11275,0
343,343,-0.23,16,31,1331.94,10552,1331.93854212572,7595,0
344,344,-0.24,1,-1,916.12,13594,916.124811365788,7595,0
345,345,0.35,4.5,-1,1365.22,12994,1365.22013975769,7544,0
346,346,0.76,16,2,1611.19,10566,1611.19294313251,10255,0
347,347,0.06,9,-13,1757.52,11737,1757.51876234651,10255,0
348,348,-0.31,29,-91,1364.54,6556,1364.53820393568,7469,0
349,349,0.3,8,-22,1051.49,10484,1051.49360911039,7306.5,0
350,350,0.31,5.5,-22,1054.71,11051,1054.7144400263,5614,0
351,351,0.14,5.5,-5,1325.01,11800,1325.01198485146,9079,0
352,352,0.18,10,17,1771.15,14406,1771.14975651411,10104,0
353,353,0.44,20.5,-12,1832.97,11292,1832.97093539423,10104,0
354,354,-0.04,27,-25,1752.03,7750,1752.02910934722,7567,0
355,355,-0.64,8,-6,1484.05,9238,1484.0526473141,8759.5,0
356,356,0.19,9,11,1408.4,9763,1408.39947103086,8759.5,0
357,357,0.97,12.5,-5,1588.17,9113,1588.16917234909,9588,0
358,358,0.73,18,36,1995.97,11130,1995.96811347276,13010,0
359,359,0.06,32,111,2544.76,10472,2544.75936190438,14957,0
360,360,-0.95,7,19,2412.42,8945,2412.41827633601,14957,0
361,361,-0.05,13,19,2170.81,9182,2170.80894138568,12943,0
362,362,0.72,31.5,25,2312.28,10818,2312.27782067813,12943,0
363,363,0.1,36,-38,1916.71,11052,1916.70972241495,9600,0
364,364,0.58,9,16,1238.8,12025,1238.80219567129,7835,0
365,365,0.18,6,4,1013.09,10942,1013.08603780725,7835,0
366,366,0.14,13.5,8.5,1525.66,14879,1525.66263636493,7491,0
367,367,0.15,91,72,1804.97,7994,1804.96637641813,8018,0
368,368,0.8,29,62,1591.02,6823,1591.02220286205,8018,0
369,369,0.15,4.5,10,1211.31,8521,1211.30794598236,7173,0
370,370,-0.37,18,-86,1691.42,10044,1691.42379668728,8727.5,0
371,371,0.63,20.5,-8,1864.07,10442,1864.06745854328,11107,0
372,372,-0.13,7.5,-8,1627.33,10201,1627.32993581511,11107,0
373,373,-0.06,11.5,-1,1863.08,12371,1863.07884159528,9368,0
374,374,-0.17,71,213,2136.39,9911,2136.3899386582,9880,0
375,375,0.32,-1.5,-3,1332.93,14369,1332.93114225754,8445.5,0
376,376,0.5,14,-33,2057.06,7037,2057.05899040353,14245,0
377,377,-0.62,64,-325,2871.35,4959,2871.34798483221,14245,0
378,378,-0.28,91,-107,2793.61,6734,2793.60568083615,13673,0
379,379,-0.16,40.5,-8,2163.91,8730,2163.91288179538,11993,0
380,380,-0.23,22,-8,2038.55,10098,2038.54837813578,11394,0
381,381,0.7,18.5,-3,1621.81,9168,1621.81000120236,10550,0
382,382,0.46,10,2,1083.06,9694,1083.06085701589,5698,0
383,383,-0.02,7,14,1278.87,11346,1278.86855071192,9283.5,0
384,384,-0.34,9.5,-5,1325.23,10305,1325.22598827521,9196,0
385,385,0.45,51.5,89,1302.1,6518,1302.0961178039,6218.5,0
386,386,0.25,25.5,-23,1413.94,9630,1413.93980777118,6218.5,0
387,387,0.3,3,3,1125.67,14622,1125.66618941852,7336.5,0
388,388,-0.9,4.5,-1,1101.55,12447,1101.54800167764,7336.5,0
389,389,-0.29,23.5,10,1324.34,7207,1324.3373739346,10179.5,0
390,390,0.69,37.5,36,1320.2,8403,1320.20405619737,10179.5,0
391,391,-0.16,49.5,0,1434.48,10084,1434.48109084784,6770.5,0
