,Spectral centroid,Band Energy Ratio,Spectral Roll Off
38491,2490.578238,6.841024399,4947.333333
38492,2120.111446,10.2312355,3918.333333
38493,1855.639894,6.820981026,3126.333333
38494,2332.819078,11.76184273,4889.333333
38495,2018.498188,14.27473831,3686
38496,1733.288548,21.04453087,3315.666667
38497,2114.697262,7.94276619,4063.666667
38498,2314.250865,9.689378738,4313
38499,2905.539191,7.188404083,6638.333333
38500,1683.329406,62.14362717,3005.333333
38501,2259.096511,3.950363159,4012
38502,1808.776274,11.69874954,3168
38503,1758.843347,14.37631512,3192
38504,1679.422774,14.53880882,2960
38505,2751.208834,10.49932098,6695
38506,1771.692178,16.21088028,3225.666667
38507,1903.774558,25.73995018,3382.333333
38508,2138.135964,14.14709759,3852.333333
38509,1863.393448,6.481946945,3107.666667
38510,1813.462542,5.653454781,3175
38511,2367.656051,7.875635624,4591.666667
38512,1918.720379,12.24106121,3184.666667
38513,1869.538578,9.158423424,3488.666667
38514,1980.886672,13.32471466,3432.666667
38515,2649.19619,4.722996712,5636
38516,2825.686103,1.547270775,4667
38517,2450.667279,2.793275595,4203
38518,2607.483448,8.924451828,6805.333333
38519,2260.248483,4.972645283,4115.666667
38520,2330.502692,9.828304291,4722.333333
38521,2161.208584,13.99356079,4068.666667
38522,2118.764659,6.777989388,3629
38523,1999.230452,4.474931717,3499.333333
38524,2028.972099,5.07311821,3645
38525,1914.005418,5.472637177,3326.333333
38526,2719.546869,6.408951759,5715.666667
38527,1690.776978,14.32953453,3084.666667
38528,2665.487848,7.855969906,6872.666667
38529,1992.286786,12.75376701,3482
38530,2231.489093,8.029460907,4255.333333
38531,2229.53732,20.78360176,5213.666667
38532,2561.473684,2.12945056,4547.666667
38533,2522.219234,3.377709389,4697
38534,2503.47938,17.2923851,5805.666667
38535,3340.926265,4.52959013,7020
38536,2191.939048,8.426726341,4211.666667
38537,2505.638464,3.027853012,4407.333333
38538,2183.539545,7.59048748,4163.333333
38539,2327.069257,3.752191067,4206.666667
38540,2489.549977,12.13580227,5143
38541,2315.476119,2.995804548,3852.666667
38542,1887.420082,17.80198288,3138.333333
38543,1957.889855,12.44689083,3603.333333
38544,2347.268932,10.84345913,4759
38545,1758.061407,16.59114075,3235.666667
38546,2117.879362,6.895307064,3708.333333
38547,2461.618268,9.771205902,4955.666667
38548,2294.513465,11.25777721,4370.666667
38549,1793.045366,23.01195717,3407
38550,1942.349584,7.951897144,3364.666667
38551,2695.78274,4.779480934,5413.666667
38552,2839.728525,4.142921448,5281.666667
38553,2120.683208,14.68524075,4106.333333
38554,2494.914133,11.84810448,5718.666667
38555,2826.693455,4.21564579,5922
38556,1874.41039,23.19900322,3673.666667
38557,2071.121831,28.81747627,4342
38558,1730.542863,11.49587822,3068.333333
38559,1867.695312,34.40066528,3477.666667
38560,2479.148578,15.3824234,6290
38561,1807.38124,8.980212212,3631.333333
38562,3082.330158,1.996829987,6037
38563,3323.593169,3.105904818,6798
38564,1943.320393,11.17902088,3815.333333
38565,2031.28742,2.424922228,3453
