,Spectral Centroid,Band Energy Ratio,Spectral Rolloff
52997,1464.077861,14.237198,3093.0
52998,1055.293772,117.689354,1728.333333
52999,1760.124905,37.387398,3264.333333
53000,1702.276743,6.4568458,4815.666667
53001,1807.779354,30.1476,2769.333333
53002,1413.63179,30.942131,3143.333333
53003,1185.864459,53.830143,1897.333333
53004,918.1730515,14.859483,4303.0
53005,904.3319857,19.258831,4455.0
53006,1068.459148,10.128033,4928.666667
53007,1296.766888,119.93406,1828.333333
53008,1445.413664,115.39054,1699.666667
53009,1461.494866,44.198273,2520.0
53010,1870.500075,18.333862,4454.333333
53011,1346.481956,14.738284,4177.333333
53012,1485.399225,12.562807,4324.666667
53013,1637.592853,9.011803,4014.0
53014,1440.958557,27.939228,3725.0
53015,1097.04376,34.45275,3489.666667
53016,1709.18288,16.96246,4556.666667
53017,1495.189442,31.636478,3433.0
53018,1523.322464,12.87677,4758.0
53019,1428.711188,16.524279,4484.666667
53020,1030.523761,12.24062,4815.333333
53021,1120.824331,29.771349,3759.0
53022,1296.640993,18.749868,3133.0
53023,1072.710853,10.153458,4798.666667
53024,1811.999456,11.058832,4855.333333
53025,1373.124428,48.31759,3364.666667
53026,1806.212291,9.073253,4829.333333
53027,1450.52821,44.707073,2006.0
53028,1057.677396,30.709894,3387.0
53029,993.5788305,8.39186,5055.0
53030,1229.274445,24.116909,3921.666667
53031,1104.084387,22.122263,4141.0
53032,1749.343527,19.801163,4383.333333
53033,1244.829733,19.998014,4334.666667
53034,1198.610881,11.479291,4768.666667
53035,1397.889651,5.884189,5269.333333
53036,1444.758538,27.167234,2759.666667
53037,1180.670112,7.699155,4510.0
53038,1645.390042,17.068039,4157.666667
53039,967.4239202,14.601447,4391.333333
53040,989.1092438,13.777282,4758.0
53041,1020.11119,5.1054964,5287.333333
53042,1626.248235,39.63533,2225.0
53043,1355.395684,8.775481,4056.666667
53044,1036.041726,13.631456,4642.0
53045,1183.021161,29.71329,3533.666667
53046,1169.876838,13.128295,4772.333333
53047,1654.915251,21.769894,2386.0
53048,1594.393399,30.332987,3558.333333
53049,1349.796055,69.401505,2374.666667
53050,1570.239359,16.78066,4480.666667
53051,996.0264035,16.812853,4522.0
53052,894.5315536,95.34955,1849.333333
53053,1811.69001,13.057289,4683.333333
53054,1490.647384,38.01062,2527.0
53055,1144.851458,18.72088,4415.333333
53056,1475.286219,52.652363,2561.666667
53057,1127.116143,11.267985,4744.0
53058,1792.908073,19.259449,4303.333333
53059,1158.103881,19.074322,4429.333333
53060,1547.300143,13.110053,4470.0
53061,1445.212839,24.692026,3379.666667
53062,1585.800347,16.62349,4407.333333
53063,1066.003679,89.70765,1915.666667
53064,1002.474693,35.189484,2267.0
53065,1270.71831,40.682102,2783.0
53066,1499.355695,16.47038,4403.666667
53067,1320.473813,53.249516,2597.333333
53068,1021.140716,24.657585,3219.333333
53069,1019.492915,20.299475,4513.666667
53070,975.3080139,19.39059,4063.666667
53071,1319.108933,31.490496,3807.333333
53072,1797.789139,10.688957,4806.0
53073,1033.926139,38.506283,2755.333333
53074,2022.779818,31.81977,3274.0
53075,1531.070487,10.346516,5002.333333
53076,1370.952479,43.4903,2798.0
53077,1269.411102,32.562298,2366.0
53078,968.550387,46.451416,2509.0
53079,1347.113412,17.071339,4422.333333
53080,1002.337956,16.655287,4484.666667
53081,1462.026422,11.381499,4427.333333
53082,1421.815293,15.920843,4297.333333
53083,1975.66935,9.7232685,4811.0
53084,1826.823747,27.214556,3044.0
53085,1316.298225,29.06116,3927.333333
53086,1563.520172,19.99109,2470.333333
53087,1307.187301,19.371992,4190.0
53088,943.760852,8.914235,4815.333333
53089,1580.040037,16.928108,4473.333333
53090,1395.219139,36.489784,2104.0
53091,1437.388367,19.874508,3661.0
53092,1394.547406,16.269583,4135.0
53093,1023.266378,9.487382,4935.666667
53094,1619.345851,52.238033,2194.333333
53095,1600.690351,29.614017,2543.0
53096,1093.263429,38.378826,2188.0
53097,1015.261733,6.3763046,5104.333333
53098,1160.099668,13.467152,3407.666667
53099,1173.145658,37.415176,2390.333333
53100,1742.526199,8.975203,4794.333333
53101,1111.312442,43.16214,2490.333333
53102,1287.404887,16.259007,4471.0
53103,1026.699701,7.9411745,4864.666667
53104,1934.82638,15.3543215,4626.0
53105,1933.915773,15.592973,4740.666667
53106,1646.044344,19.371084,4230.333333
53107,1863.153532,5.715192,4663.0
53108,1674.889856,5.6132174,4439.666667
53109,929.8057546,24.173891,2759.333333
53110,916.1586739,40.08289,2792.0
53111,997.6721269,37.799583,2934.333333
53112,1799.099239,8.009375,4830.333333
53113,1348.743244,8.297284,4738.333333
53114,1064.403029,37.704887,3139.666667
53115,1888.116696,15.679682,4679.0
53116,1545.537446,10.201723,4591.333333
53117,1498.366098,22.658468,4158.0
53118,1166.983843,6.4086742,4549.666667
53119,1903.144346,9.871192,4222.0
53120,1456.228107,20.572193,3380.0
53121,1425.93875,30.512737,2915.333333
53122,1203.549547,47.830482,2440.0
53123,1511.734039,60.433796,2085.666667
53124,1070.321044,13.090969,3761.666667
53125,997.8103434,13.785876,4697.0
53126,1054.035866,16.375189,3936.333333
53127,1548.733477,13.866458,4695.333333
53128,1453.293311,14.121279,3245.0
53129,995.8787648,6.517929,3636.666667
53130,1579.629429,6.313015,4795.0
53131,1236.851291,23.810585,3236.666667
53132,1166.925779,9.759203,4553.666667
53133,974.2075275,28.252348,3492.333333
53134,1352.533182,15.449095,4675.0
53135,1746.519604,12.4691515,4489.333333
53136,1146.598326,10.403185,3920.666667
53137,1604.607301,44.03902,1995.333333
53138,1176.193188,9.950863,3412.333333
53139,1318.216586,9.125195,4915.333333
53140,1175.093497,50.687782,2124.666667
53141,1139.678449,12.445074,4667.666667
53142,1711.927083,53.446846,2750.333333
53143,1360.901446,43.85,2176.666667
53144,1494.213688,23.2622,2686.666667
53145,1260.065737,4.4525757,5301.666667
53146,1189.503988,20.339684,3368.0
53147,1874.614458,36.178677,3018.666667
53148,975.1077984,43.910316,2051.666667
53149,999.5202648,29.144806,3348.0
53150,1391.370186,24.878918,2534.666667
53151,1269.043798,7.4417562,4958.0
53152,876.0464558,11.48387,4743.333333
