,Mean,Mode,Median,Standard Deviation,Zero Crossing Rate,RMS,Ampl. Env,Human/Robo
41637,378.67,0.0,0.0,2797.93,5395,3661.948347533045,28780.0,1
41638,481.67,0.0,0.0,3106.77,5952,3045.2461329094567,29780.0,1
41639,573.98,0.0,61.0,3254.1,8858,3449.251853663342,29780.0,1
41640,544.85,0.0,45.0,3407.01,9136,3317.446771238387,23712.0,1
41641,513.98,0.0,0.0,3507.12,6761,3665.265821192236,29967.0,1
41642,507.29,0.0,0.0,3406.75,6767,3396.389210617652,29967.0,1
41643,423.77,0.0,0.0,2924.48,4495,2915.444448107355,29738.0,1
41644,612.63,0.0,62.0,3309.48,6339,3029.733390910824,30245.0,1
41645,651.28,-29.0,99.0,3425.21,7707,3216.57573204798,30284.0,1
41646,538.18,0.0,41.0,3051.94,7215,3581.3848396953936,30284.0,1
41647,483.87,0.0,7.0,2776.46,5982,3468.9517984543977,29840.0,1
41648,413.51,0.0,0.0,2735.97,5639,3358.4477575213227,28759.0,1
41649,458.34,0.0,2.0,2865.18,6219,3410.4731226033728,28759.0,1
41650,573.09,0.0,35.0,3243.42,7406,3679.170365721055,29900.0,1
41651,400.77,0.0,0.0,2856.36,5905,4182.732872178189,29900.0,1
41652,446.21,0.0,0.0,2938.01,7468,2943.2802652822584,30267.0,1
41653,503.51,0.0,2.0,3346.67,7613,3503.396175142058,29780.0,1
41654,603.58,0.0,64.0,3535.99,6638,3755.5589237821846,29780.0,1
41655,405.98,0.0,0.0,2869.1,5756,2833.2652011416085,27620.0,1
41656,389.43,0.0,0.0,3298.73,6356,3215.4492547698524,30042.0,1
41657,605.04,-10.0,53.0,3902.91,7340,3510.6394104208425,30042.0,1
41658,640.16,-12.0,76.0,3488.65,6975,3428.889719719781,30297.0,1
41659,654.17,-5.0,86.0,3298.05,6653,4016.556326008637,30297.0,1
41660,399.52,0.0,0.0,2761.37,8034,3289.355949118308,29679.0,1
41661,527.73,0.0,23.0,3071.15,9218,3179.998805031222,29706.0,1
41662,572.54,0.0,73.0,3203.72,8531,3207.1462891486567,23655.0,1
41663,627.3,8.0,83.0,3405.02,6601,3168.36196480137,29476.0,1
41664,425.58,0.0,0.0,2862.31,8049,3446.1973710163497,29760.0,1
41665,401.66,0.0,0.0,2888.63,8208,3729.4966979473247,29760.0,1
41666,470.69,0.0,0.0,3062.4,7182,3766.236135719586,27550.0,1
41667,504.37,0.0,0.0,3186.94,6102,3077.055558484442,29893.0,1
41668,486.1,0.0,0.0,3115.28,7131,3025.53644334356,29893.0,1
41669,379.88,0.0,0.0,2848.8,7620,3665.746383753246,29553.0,1
41670,297.74,0.0,0.0,2550.38,6361,3928.801150478349,28511.0,1
41671,266.6,0.0,0.0,2180.9,5158,3876.2679615836673,28879.0,1
41672,291.97,0.0,0.0,2249.93,5809,3226.5045715138854,29934.0,1
41673,340.1,0.0,0.0,2857.82,5758,3717.0964838163673,29934.0,1
41674,453.91,0.0,0.0,3208.44,7635,4042.111228058922,29590.0,1
41675,460.32,0.0,1.0,2905.34,7979,3559.82257703948,30254.0,1
41676,554.61,0.0,1.0,3156.77,8208,2644.983858173808,30254.0,1
41677,400.39,0.0,0.0,2824.01,7312,2801.5383363430883,29400.0,1
41678,363.81,0.0,0.0,2697.14,7826,3348.946099894712,30166.0,1
41679,383.05,0.0,0.0,2859.84,5412,3081.5526768173218,29870.0,1
41680,460.46,0.0,2.0,3067.29,7816,3336.870957948479,29145.0,1
41681,422.72,0.0,0.0,2857.2,7334,3460.125082999168,29145.0,1
41682,334.6,0.0,0.0,2476.07,4640,3300.275314273038,29682.0,1
41683,388.64,0.0,0.0,2778.2,4973,3151.595878281351,29819.0,1
41684,376.8,0.0,0.0,2970.82,6029,3386.768530620302,29914.0,1
41685,401.73,0.0,0.0,3014.11,6582,3344.4042249704207,29914.0,1
41686,528.57,0.0,15.0,3246.91,6538,3144.5149800883446,29668.0,1
41687,541.89,0.0,6.0,3190.05,5804,2959.809225271116,29668.0,1
41688,416.96,0.0,0.0,2930.52,6611,3677.819889554136,30052.0,1
41689,385.03,0.0,0.0,2911.81,5128,3634.549531922767,30052.0,1
